movie_title,director_name,num_user_for_reviews,language,country,title_year,imdb_score,aspect_ratio,movie_facebook_likes,director_facebook_likes,actor_3_facebook_likes,actor_2_facebook_likes,actor_1_facebook_likes,actor_3_name,actor_2_name,actor_1_name,num_voted_users,cast_total_facebook_likes,budget
Blackhat ,Michael Mann,207,English,USA,2015,5.4,2.35,11000,0,301,326,26000,Brandon Molale,Archie Kao,Chris Hemsworth,38983,28129,70000000
Sky Captain and the World of Tomorrow ,Kerry Conran,618,English,USA,2004,6.1,1.85,0,14,582,1000,11000,Bai Ling,Laurence Olivier,Angelina Jolie Pitt,72868,12871,70000000
Basic Instinct 2 ,Michael Caton-Jones,313,English,UK,2006,4.2,2.35,764,105,246,729,844,Neil Maskell,Indira Varma,Charlotte Rampling,31124,1899,70000000
Escape Plan ,Mikael Håfström,279,English,USA,2013,6.7,2.35,34000,101,585,1000,13000,Matt Gerald,50 Cent,Sylvester Stallone,177653,15708,50000000
The Legend of Hercules ,Renny Harlin,202,English,USA,2014,4.2,2.35,12000,212,182,358,576,Gaia Weiss,Luke Newberry,Roxanne McKee,44891,1520,70000000
The Sum of All Fears ,Phil Alden Robinson,568,English,USA,2002,6.4,2.35,0,31,497,655,11000,Philip Baker Hall,Bruce McGill,Morgan Freeman,86504,12556,68000000
The Twilight Saga: Eclipse ,David Slade,498,English,USA,2010,4.9,2.35,29000,171,10000,17000,21000,Anna Kendrick,Kristen Stewart,Robert Pattinson,184637,52547,68000000
The Score ,Frank Oz,445,English,USA,2001,6.8,2.35,0,0,580,10000,22000,Gary Farmer,Marlon Brando,Robert De Niro,101899,32871,68000000
Despicable Me ,Pierre Coffin,296,English,USA,2010,7.7,1.85,31000,275,975,2000,7000,Jack McBrayer,Miranda Cosgrove,Steve Carell,385943,11608,69000000
Money Train ,Joseph Ruben,62,English,USA,1995,5.6,2.35,617,29,97,220,584,Aida Turturro,Robert Blake,Vincent Pastore,32224,1132,68000000
Ted 2 ,Seth MacFarlane,229,English,USA,2015,6.4,2.35,30000,3000,3000,11000,14000,Seth MacFarlane,Morgan Freeman,Liam Neeson,117739,30010,68000000
Agora ,Alejandro Amenábar,172,English,Spain,2009,7.2,2.35,29000,448,334,451,614,Rupert Evans,Ashraf Barhom,Max Minghella,52496,1829,70000000
Mystery Men ,Kinka Usher,435,English,USA,1999,6,1.85,0,18,776,855,1000,Eddie Izzard,Wes Studi,Janeane Garofalo,53970,3986,65000000
Hall Pass ,Bobby Farrelly,143,English,USA,2011,5.9,2.35,10000,101,681,919,966,Stephen Merchant,Larry Joe Campbell,Jenna Fischer,103230,3393,36000000
The Insider ,Michael Mann,521,English,USA,1999,7.9,2.35,0,0,680,826,14000,Debi Mazar,Rip Torn,Al Pacino,133526,18216,68000000
The Finest Hours ,Craig Gillespie,113,English,USA,2016,6.8,2.35,12000,44,531,562,788,Graham McTavish,Abraham Benrubi,Michael Raymond-James,27481,3524,
Body of Lies ,Ridley Scott,263,English,USA,2008,7.1,2.35,0,0,135,149,29000,Michael Gaston,Simon McBurney,Leonardo DiCaprio,174248,29824,70000000
Dinner for Schmucks ,Jay Roach,264,English,USA,2010,5.9,1.85,0,116,982,1000,7000,Bruce Greenwood,Stephanie Szostak,Steve Carell,80338,10419,
Abraham Lincoln: Vampire Hunter ,Timur Bekmambetov,348,English,USA,2012,5.9,2.35,98000,335,911,3000,3000,Benjamin Walker,Dominic Cooper,Rufus Sewell,128629,8281,69000000
Entrapment ,Jon Amiel,274,English,USA,1999,6.2,2.35,0,36,232,427,537,Maury Chaykin,Kevin McNally,Will Patton,88132,1302,66000000
Last Man Standing             ,,87,English,USA,,7.4,16,0,,359,363,995,Nancy Travis,Kaitlyn Dever,Hector Elizondo,15114,2465,
The X Files ,Rob Bowman,297,English,USA,1998,7,2.35,0,38,745,826,940,Jeffrey DeMunn,Mitch Pileggi,Martin Landau,85720,4230,66000000
The Last Legion ,Doug Lefler,174,English,UK,2007,5.4,2.35,0,4,112,394,14000,Owen Teale,Nonso Anozie,Colin Firth,29285,14625,35000000
Saving Private Ryan ,Steven Spielberg,2277,English,USA,1998,8.6,1.85,22000,14000,13000,14000,15000,Matt Damon,Vin Diesel,Tom Hanks,881236,44998,70000000
Need for Speed ,Scott Waugh,346,English,USA,2014,6.5,2.35,32000,76,464,3000,3000,Ramon Rodriguez,Dominic Cooper,Rami Malek,136954,7081,66000000
What Women Want ,Nancy Meyers,395,English,USA,2000,6.4,1.37,0,278,912,955,2000,Loretta Devine,Lisa Edelstein,Judy Greer,158864,5838,70000000
Ice Age ,Chris Wedge,467,English,USA,2002,7.6,1.85,3000,77,835,939,1000,Denis Leary,Stephen Root,Goran Visnjic,328159,5437,59000000
Dreamcatcher ,Lawrence Kasdan,662,English,USA,2003,5.5,2.35,4000,759,354,599,11000,Reece Thompson,Michael O'Neill,Morgan Freeman,75573,12194,68000000
Lincoln ,Steven Spielberg,720,English,USA,2012,7.4,2.35,71000,14000,655,826,23000,Bruce McGill,Hal Holbrook,Joseph Gordon-Levitt,197412,25517,65000000
The Matrix ,Lana Wachowski,3646,English,USA,1999,8.7,2.35,25000,0,99,145,18000,Gloria Foster,Marcus Chong,Keanu Reeves,1217752,18563,63000000
Apollo 13 ,Ron Howard,296,English,USA,1995,7.6,2.35,5000,2000,552,968,15000,Kathleen Quinlan,Miko Hughes,Tom Hanks,208817,17171,62000000
Total Recall ,Paul Verhoeven,391,English,USA,1990,7.5,1.85,0,719,217,308,605,Marshall Bell,Rachel Ticotin,Ronny Cox,240241,1441,65000000
The Santa Clause 2 ,Michael Lembeck,116,English,USA,2002,5.5,1.85,1000,54,775,857,901,Eric Lloyd,Aisha Tyler,Judge Reinhold,34561,5265,60000000
Les Misérables ,Tom Hooper,845,English,USA,2012,7.6,1.85,144000,0,11000,13000,20000,Anne Hathaway,Eddie Redmayne,Hugh Jackman,243834,46204,61000000
You've Got Mail ,Nora Ephron,556,English,USA,1998,6.5,1.85,0,0,744,793,15000,Dave Chappelle,Jean Stapleton,Tom Hanks,151812,17768,65000000
Step Brothers ,Adam McKay,277,English,USA,2008,6.9,2.35,0,285,105,3000,8000,Andrea Savage,Adam Scott,Will Ferrell,212499,11264,65000000
The Mask of Zorro ,Martin Campbell,318,English,USA,1998,6.7,2.35,0,258,94,174,12000,Stuart Wilson,Tony Amendola,Anthony Hopkins,135404,12396,65000000
Due Date ,Todd Phillips,285,English,USA,2010,6.6,2.35,25000,480,490,561,21000,Matt Walsh,RZA,Robert Downey Jr.,272789,23018,65000000
Unbroken ,Angelina Jolie Pitt,351,English,USA,2014,7.2,2.35,35000,11000,465,698,769,Alex Russell,Jack O'Connell,Finn Wittrock,103589,2938,65000000
Space Cowboys ,Clint Eastwood,326,English,USA,2000,6.4,2.35,0,16000,416,495,16000,William Devane,Courtney B. Vance,Clint Eastwood,60165,17771,65000000
Cliffhanger ,Renny Harlin,172,English,USA,1993,6.4,2.35,0,212,369,730,13000,Janine Turner,Leon,Sylvester Stallone,96096,15229,70000000
Broken Arrow ,John Woo,189,English,USA,1996,6,2.35,0,610,461,517,848,Bob Gunton,Samantha Mathis,Delroy Lindo,77390,2913,50000000
The Kid ,Jon Turteltaub,139,English,USA,2000,6.1,1.85,0,226,577,718,13000,Daniel von Bargen,Lily Tomlin,Bruce Willis,34473,16452,60000000
World Trade Center ,Oliver Stone,564,English,USA,2006,6,1.85,0,0,625,1000,12000,Armando Riesco,Jay Hernandez,Nicolas Cage,67395,14421,63000000
Mona Lisa Smile ,Mike Newell,264,English,USA,2003,6.4,1.85,0,179,403,4000,8000,Marian Seldes,Kirsten Dunst,Julia Roberts,61490,12850,65000000
The Dictator ,Larry Charles,310,English,USA,2012,6.4,2.35,59000,119,174,346,600,Horatio Sanz,Aasif Mandvi,Sayed Badreya,213863,1375,65000000
Eyes Wide Shut ,Stanley Kubrick,1500,English,UK,1999,7.3,1.66,10000,0,521,580,10000,Sydney Pollack,Vinessa Shaw,Tom Cruise,227071,11424,65000000
Annie ,Will Gluck,213,English,USA,2014,5.2,2.39,16000,87,929,1000,2000,David Zayas,Dorian Missick,Quvenzhané Wallis,24735,4796,65000000
Focus ,Glenn Ficarra,221,English,USA,2015,6.6,1.85,23000,43,523,806,10000,Gerald McRaney,Adrian Martinez,Will Smith,149337,11943,50100000
This Means War ,McG,238,English,USA,2012,6.3,2.35,18000,368,520,1000,27000,Warren Christie,Abigail Spencer,Tom Hardy,147641,29808,65000000
Blade: Trinity ,David S. Goyer,514,English,USA,2004,5.9,2.35,0,687,957,1000,16000,John Michael Higgins,Natasha Lyonne,Ryan Reynolds,132954,19764,65000000
Red Dawn ,John Milius,383,English,USA,1984,6.4,1.85,0,468,919,1000,1000,William Smith,Jennifer Grey,Lea Thompson,41776,3860,16900000
Primary Colors ,Mike Nichols,157,English,France,1998,6.7,2.35,688,0,210,317,509,Paul Guilfoyle,Adrian Lester,Maura Tierney,23940,1409,65000000
Resident Evil: Retribution ,Paul W.S. Anderson,423,English,Germany,2012,5.4,2.35,32000,545,974,1000,14000,Bingbing Li,Boris Kodjoe,Milla Jovovich,104831,17913,65000000
Death Race ,Paul W.S. Anderson,211,English,USA,2008,6.4,2.35,0,545,805,872,26000,Joan Allen,Max Ryan,Jason Statham,166610,28643,45000000
The Long Kiss Goodnight ,Renny Harlin,285,English,USA,1996,6.7,2.35,4000,212,263,380,394,Yvonne Zima,Craig Bierko,Melina Kanakaredes,60508,1531,65000000
Proof of Life ,Taylor Hackford,265,English,USA,2000,6.2,2.35,892,138,184,192,324,Michael Kitchen,Alun Armstrong,Pamela Reed,49300,1013,65000000
Zathura: A Space Adventure ,Jon Favreau,202,English,USA,2005,6.1,1.85,0,4000,539,14000,17000,Jonah Bobo,Josh Hutcherson,Kristen Stewart,67707,32232,65000000
Fight Club ,David Fincher,2968,English,USA,1999,8.8,2.35,48000,21000,637,783,11000,Eugenie Bondurant,Meat Loaf,Brad Pitt,1347461,13209,63000000
We Are Marshall ,McG,175,English,USA,2006,7.1,2.35,0,368,383,529,11000,Brian Geraghty,Kimberly Williams-Paisley,Matthew McConaughey,46951,12088,65000000
The Missing             ,,28,English,UK,,8.1,,0,,575,773,1000,Frances O'Connor,James Nesbitt,Jason Flemyng,8739,3537,
Hudson Hawk ,Michael Lehmann,249,English,USA,1991,5.7,1.85,0,36,554,773,13000,Richard E. Grant,James Coburn,Bruce Willis,43376,15944,70000000
Lucky Numbers ,Nora Ephron,69,English,France,2000,5,1.85,177,0,506,909,975,Richard Schiff,Michael Moore,Michael Rapaport,8560,3580,65000000
"I, Frankenstein ",Stuart Beattie,194,English,Australia,2014,5.1,2.35,15000,72,568,593,623,Miranda Otto,Kevin Grevioux,Caitlin Stasey,65709,3165,65000000
Oliver Twist ,Roman Polanski,138,English,UK,2005,6.9,2.35,0,2000,25,85,268,Tony Noble,Barney Clark,Ian McNeice,25474,450,50000000
Elektra ,Rob Bowman,380,English,Canada,2005,4.8,2.35,0,38,1000,1000,3000,Goran Visnjic,Cary-Hiroyuki Tagawa,Jennifer Garner,71202,7048,43000000
Sin City: A Dame to Kill For ,Frank Miller,239,English,USA,2014,6.5,1.85,32000,436,6000,13000,23000,Eva Green,Bruce Willis,Joseph Gordon-Levitt,111102,49433,65000000
Random Hearts ,Sydney Pollack,290,English,USA,1999,5.1,1.85,295,521,970,1000,11000,Bill Cobbs,Kristin Scott Thomas,Harrison Ford,17025,16710,64000000
Everest ,Baltasar Kormákur,265,English,UK,2015,7.1,2.35,40000,175,221,580,963,Tom Goodman-Hill,Martin Henderson,Michael Kelly,134625,2131,55000000
Perfume: The Story of a Murderer ,Tom Tykwer,482,English,Germany,2006,7.5,2.35,26000,670,16,27,177,Simon Chandler,David Calder,Michael Smiley,190490,253,50000000
Austin Powers in Goldmember ,Jay Roach,795,English,USA,2002,6.2,2.35,0,116,481,522,645,Robert Wagner,Josh Zuckerman,Verne Troyer,162909,2725,63000000
Astro Boy ,David Bowers,77,English,Hong Kong,2009,6.3,2.35,0,42,668,9000,12000,Dee Bradley Baker,Charlize Theron,Nicolas Cage,25681,23365,65000000
Jurassic Park ,Steven Spielberg,895,English,USA,1993,8.1,1.85,19000,14000,191,610,967,Bob Peck,Ariana Richards,Wayne Knight,613473,2129,63000000
Wyatt Earp ,Lawrence Kasdan,145,English,USA,1994,6.6,2.35,0,759,812,925,2000,Isabella Rossellini,Catherine O'Hara,Dennis Quaid,35314,5708,63000000
Clear and Present Danger ,Phillip Noyce,133,English,USA,1994,6.9,2.35,0,176,672,913,11000,Raymond Cruz,Dean Jones,Harrison Ford,69663,14178,62000000
Dragon Blade ,Daniel Lee,86,Mandarin,China,2015,6.1,2.35,0,10,7,18,21,Sung-jun Yoo,Peng Lin,Si Won Choi,11584,58,65000000
Littleman ,Keenen Ivory Wayans,187,English,USA,2006,4.3,1.85,0,322,723,862,979,John Witherspoon,Brittany Daniel,Chazz Palminteri,39471,6334,64000000
U-571 ,Jonathan Mostow,602,English,France,2000,6.6,2.35,0,84,563,919,11000,David Keith,Thomas Kretschmann,Matthew McConaughey,65297,14931,62000000
The American President ,Rob Reiner,214,English,USA,1995,6.8,2.35,0,0,452,517,524,Wendie Malick,Samantha Mathis,Shawna Waldron,43027,2668,62000000
The Love Guru ,Marco Schnabel,250,English,USA,2008,3.8,2.35,0,12,645,966,3000,Verne Troyer,Romany Malco,Justin Timberlake,43300,6658,62000000
3000 Miles to Graceland ,Demian Lichtenstein,399,English,USA,2001,5.9,2.35,0,11,867,904,11000,Ice-T,Bokeem Woodbine,Jon Lovitz,38076,14536,42000000
The Hateful Eight ,Quentin Tarantino,1018,English,USA,2015,7.9,2.76,114000,16000,1000,1000,46000,Zoë Bell,Jennifer Jason Leigh,Craig Stark,272839,49912,44000000
Blades of Glory ,Josh Gordon,246,English,USA,2007,6.3,1.85,0,8,970,1000,8000,Jon Heder,Amy Poehler,Will Ferrell,129995,13232,61000000
Hop ,Tim Hill,82,English,USA,2011,5.5,1.85,0,25,439,664,989,Chelsea Handler,Elizabeth Perkins,Gary Cole,24089,2558,63000000
300 ,Zack Snyder,2073,English,USA,2006,7.7,2.35,13000,0,447,13000,18000,Vincent Regan,Michael Fassbender,Gerard Butler,607235,32360,65000000
Meet the Fockers ,Jay Roach,428,English,USA,2004,6.3,1.85,0,116,708,713,22000,Teri Polo,Blythe Danner,Robert De Niro,211296,24938,80000000
Marley & Me ,David Frankel,320,English,USA,2008,7.1,2.35,11000,64,664,899,2000,Haley Bennett,Kathleen Turner,Eric Dane,116681,4811,60000000
The Green Mile ,Frank Darabont,1377,English,USA,1999,8.5,1.85,30000,0,693,745,15000,Michael Jeter,Jeffrey DeMunn,Tom Hanks,782610,17716,60000000
Wild Hogs ,Walt Becker,255,English,USA,2007,5.9,2.35,0,12,311,330,419,Drew Sidora,Tichina Arnold,Jill Hennessy,99989,1412,
Chicken Little ,Mark Dindal,251,English,USA,2005,5.8,1.85,912,10,397,729,925,Amy Sedaris,Fred Willard,Catherine O'Hara,63912,2252,150000000
Gone Girl ,David Fincher,1127,English,USA,2014,8.1,2.35,146000,21000,625,812,835,Emily Ratajkowski,Sela Ward,Patrick Fugit,569841,4348,61000000
The Bourne Identity ,Doug Liman,849,English,USA,2002,7.9,2.35,0,218,73,147,13000,Nicky Naudé,Josh Hamilton,Matt Damon,407601,13249,60000000
GoldenEye ,Martin Campbell,416,English,UK,1995,7.2,2.35,0,258,345,387,394,Tchéky Karyo,Joe Don Baker,Izabella Scorupco,199025,1784,58000000
The General's Daughter ,Simon West,274,English,USA,1999,6.3,2.35,885,165,475,501,577,Clarence Williams III,Timothy Hutton,Daniel von Bargen,42705,2321,95000000
The Truman Show ,Peter Weir,877,English,USA,1998,8.1,1.85,18000,608,576,617,2000,Peter Krause,Noah Emmerich,Natascha McElhone,667983,3698,60000000
The Prince of Egypt ,Brenda Chapman,353,English,USA,1998,7,1.85,0,59,145,263,770,Eden Riegel,Aria Noelle Curzon,Martin Short,91093,1195,70000000
Daddy Day Care ,Steve Carr,116,English,USA,2003,5.5,1.85,886,41,522,955,1000,Jeff Garlin,Lisa Edelstein,Anjelica Huston,49486,4050,60000000
2 Guns ,Baltasar Kormákur,172,English,USA,2013,6.7,2.35,22000,175,459,497,18000,Fred Ward,Patrick Fischler,Denzel Washington,156898,20148,61000000
Cats & Dogs ,Lawrence Guterman,235,English,USA,2001,5.2,1.85,0,6,405,664,3000,Miriam Margolyes,Elizabeth Perkins,Carol Ann Susi,46031,4171,60000000
The Italian Job ,F. Gary Gray,497,English,USA,2003,7,2.35,0,473,82,9000,26000,Jimmy Shubert,Charlize Theron,Jason Statham,285623,35084,60000000
Two Weeks Notice ,Marc Lawrence,269,English,USA,2002,6.1,1.85,0,30,268,976,1000,Dana Ivey,Alicia Witt,Dorian Missick,85673,2636,60000000
Antz ,Eric Darnell,289,English,USA,1998,6.6,1.85,0,35,754,11000,13000,Anne Bancroft,Woody Allen,Sylvester Stallone,124641,25788,105000000
Couples Retreat ,Peter Billingsley,144,English,USA,2009,5.5,1.85,0,0,721,722,4000,Tasha Smith,Kristin Davis,Jon Favreau,83506,8172,60000000
Days of Thunder ,Tony Scott,97,English,USA,1990,5.9,2.35,0,12000,695,3000,10000,Randy Quaid,Robert Duvall,Tom Cruise,60476,14006,60000000
Cheaper by the Dozen 2 ,Adam Shankman,128,English,USA,2005,5.4,2.35,781,163,2000,3000,12000,Alyson Stoner,Tom Welling,Taylor Lautner,42737,20348,60000000
The Scorch Trials ,Wes Ball,360,English,USA,2015,6.4,2.35,24000,47,240,960,988,Rosa Salazar,Lili Taylor,Ki Hong Lee,138246,2517,61000000
Eat Pray Love ,Ryan Murphy,302,English,USA,2010,5.7,1.85,26000,708,745,8000,11000,Billy Crudup,Julia Roberts,James Franco,63493,20440,60000000
The Family Man ,Brett Ratner,322,English,USA,2000,6.7,2.35,0,420,627,3000,12000,Amber Valletta,Don Cheadle,Nicolas Cage,85844,16646,60000000
RED ,Robert Schwentke,328,English,USA,2010,7.1,2.35,32000,124,357,11000,13000,Jaqueline Fleming,Morgan Freeman,Bruce Willis,238916,24928,58000000
Any Given Sunday ,Oliver Stone,452,English,USA,1999,6.8,2.35,0,0,1000,2000,14000,LL Cool J,Dennis Quaid,Al Pacino,97047,20761,55000000
The Horse Whisperer ,Robert Redford,263,English,USA,1998,6.5,1.85,0,0,380,1000,19000,Jessalyn Gilsig,Kristin Scott Thomas,Scarlett Johansson,32353,20683,60000000
Collateral ,Michael Mann,836,English,USA,2004,7.6,2.35,0,0,680,851,10000,Debi Mazar,Jada Pinkett Smith,Tom Cruise,293662,13581,65000000
The Scorpion King ,Chuck Russell,432,English,USA,2002,5.5,2.35,0,55,416,1000,12000,Bernard Hill,Roger Rees,Dwayne Johnson,102129,14611,60000000
Ladder 49 ,Jay Russell,323,English,USA,2004,6.5,1.85,0,13,579,1000,2000,Jacinda Barrett,Jay Hernandez,Billy Burke,48753,4496,55000000
Jack Reacher ,Christopher McQuarrie,448,English,USA,2012,7,2.35,38000,188,1000,3000,10000,David Oyelowo,Robert Duvall,Tom Cruise,226570,16385,60000000
Deep Blue Sea ,Renny Harlin,643,English,USA,1999,5.8,2.35,0,212,811,975,1000,Saffron Burrows,Michael Rapaport,LL Cool J,99043,3697,60000000
This Is It ,Kenny Ortega,223,English,USA,2009,7.3,1.78,0,197,6,208,433,Judith Hill,Mekia Cox,Misha Gabriel Hamilton,33158,679,60000000
Contagion ,Steven Soderbergh,411,English,USA,2011,6.6,1.85,42000,0,175,240,13000,Griffin Kane,Monique Gabriela Curnen,Matt Damon,180479,13634,60000000
Kangaroo Jack ,David McNally,181,English,USA,2003,4.4,2.35,858,18,226,257,658,Bill Hunter,Dyan Cannon,Estella Warren,23476,1233,60000000
Coraline ,Henry Selick,279,English,USA,2009,7.7,1.85,10000,253,57,229,309,John Hodgman,Dawn French,Jennifer Saunders,143121,647,60000000
The Happening ,M. Night Shyamalan,1264,English,USA,2008,5,1.85,6000,0,751,946,11000,Kristen Connolly,Alan Ruck,Zooey Deschanel,163130,13654,48000000
Man on Fire ,Tony Scott,690,English,USA,2004,7.7,2.35,14000,12000,451,992,18000,Giancarlo Giannini,Radha Mitchell,Denzel Washington,266310,20454,70000000
The Shaggy Dog ,Brian Robbins,83,English,USA,2006,4.4,2.35,747,48,722,936,21000,Kristin Davis,Joel David Moore,Robert Downey Jr.,14888,24664,50000000
Starsky & Hutch ,Todd Phillips,308,English,USA,2004,6.1,2.35,0,480,767,869,881,Fred Williamson,Carmen Electra,Snoop Dogg,120795,3943,60000000
Jingle All the Way ,Brian Levant,162,English,USA,1996,5.4,1.85,0,32,626,628,854,Jake Lloyd,Harvey Korman,Jim Belushi,68406,4530,60000000
Hellboy ,Guillermo del Toro,597,English,USA,2004,6.8,1.85,0,0,160,334,366,Brian Steele,Rupert Evans,James Babson,244566,1112,66000000
A Civil Action ,Steven Zaillian,181,English,USA,1998,6.5,2.35,1000,234,521,552,3000,Sydney Pollack,Kathleen Quinlan,Robert Duvall,23302,4713,60000000
ParaNorman ,Chris Butler,176,English,USA,2012,7,2.35,12000,28,586,884,10000,Elaine Stritch,Kodi Smit-McPhee,Anna Kendrick,72287,13597,60000000
The Jackal ,Michael Caton-Jones,227,English,USA,1997,6.3,2.35,0,105,460,13000,24000,Sophie Okonedo,Bruce Willis,J.K. Simmons,88225,38227,60000000
Paycheck ,John Woo,347,English,USA,2003,6.3,2.35,0,610,716,780,834,Callum Rennie,Joe Morton,Ivana Milicevic,89816,3637,60000000
Up Close & Personal ,Jon Avnet,54,English,USA,1996,6.1,1.85,829,50,672,944,1000,Raymond Cruz,Stockard Channing,Joe Mantegna,11370,3653,60000000
The Tale of Despereaux ,Sam Fell,106,English,UK,2008,6.1,2.35,0,18,903,2000,9000,Frank Langella,Matthew Broderick,Emma Watson,31209,13403,60000000
Rules of Engagement             ,,41,English,USA,,7.3,1.78,0,,402,607,732,Adhir Kalyan,Oliver Hudson,Bianca Kajlich,26404,2064,
The Tuxedo ,Kevin Donovan,207,English,USA,2002,5.3,1.85,797,11,107,680,966,Ritchie Coster,Debi Mazar,Romany Malco,61966,2018,60000000
Under Siege 2: Dark Territory ,Geoff Murphy,126,English,USA,1995,5.4,1.85,1000,14,488,520,789,Patrick Kilpatrick,Brenda Bakke,Peter Greene,35918,2318,60000000
Jack Ryan: Shadow Recruit ,Kenneth Branagh,289,English,USA,2014,6.2,2.35,17000,0,288,394,539,Gemma Chan,Nonso Anozie,Colm Feore,99035,1411,60000000
Joy ,David O. Russell,256,English,USA,2015,6.6,1.85,24000,737,14000,22000,34000,Bradley Cooper,Robert De Niro,Jennifer Lawrence,75329,75793,60000000
London Has Fallen ,Babak Najafi,323,English,UK,2016,5.9,2.35,28000,24,864,992,18000,Julian Kostov,Radha Mitchell,Gerard Butler,69484,20276,60000000
Alien: Resurrection ,Jean-Pierre Jeunet,656,English,USA,1997,6.3,2.35,0,0,672,720,1000,Raymond Cruz,Michael Wincott,Gary Dourdan,170179,3090,75000000
Shooter ,Antoine Fuqua,338,English,USA,2007,7.2,2.35,0,845,295,467,650,Louis Ferreira,Ned Beatty,Tate Donovan,256213,1640,61000000
The Boxtrolls ,Graham Annable,122,English,USA,2014,6.8,1.85,11000,7,642,668,874,Tracy Morgan,Dee Bradley Baker,Isaac Hempstead Wright,40883,3151,60000000
Practical Magic ,Griffin Dunne,257,English,USA,1998,6.1,2.35,0,165,944,967,1000,Stockard Channing,Dianne Wiest,Goran Visnjic,55749,4294,48000000
The Lego Movie ,Phil Lord,471,English,Australia,2014,7.8,2.35,64000,97,2000,8000,11000,Alison Brie,Will Ferrell,Morgan Freeman,246698,22128,60000000
Miss Congeniality 2: Armed and Fabulous ,John Pasquin,156,English,USA,2005,5,2.35,621,11,642,759,1000,Treat Williams,Diedrich Bader,Eileen Brennan,51252,4305,45000000
Reign of Fire ,Rob Bowman,569,English,USA,2002,6.2,2.35,0,38,11000,18000,23000,Matthew McConaughey,Gerard Butler,Christian Bale,107859,53024,60000000
Gangster Squad ,Ruben Fleischer,264,English,USA,2013,6.7,2.35,40000,181,300,301,33000,Wade Williams,Brandon Molale,Ryan Gosling,173530,34738,60000000
Year One ,Harold Ramis,203,English,USA,2009,4.9,1.85,0,11000,485,1000,10000,Xander Berkeley,Oliver Platt,Olivia Wilde,76770,12258,60000000
Invictus ,Clint Eastwood,259,English,USA,2009,7.4,2.35,23000,16000,204,11000,13000,Leleti Khumalo,Morgan Freeman,Matt Damon,124222,24458,60000000
State of Play ,Kevin Macdonald,235,English,USA,2009,7.1,2.35,0,162,379,748,18000,Michael Weston,Harry Lennix,Robin Wright,113295,19776,
Duplicity ,Tony Gilroy,184,English,USA,2009,6.2,2.35,0,209,896,1000,8000,Denis O'Hare,Tom Wilkinson,Julia Roberts,41727,10623,60000000
My Favorite Martian ,Donald Petrie,73,English,USA,1999,4.9,1.85,448,80,230,417,1000,Michael Lerner,Ray Walston,Steven Anthony Lawrence,10883,2151,65000000
The Sentinel ,Clark Johnson,213,English,USA,2006,6.1,2.35,690,69,206,219,310,Martin Donovan,David Rasche,Blair Brown,42144,1352,60000000
Planet 51 ,Jorge Blanco,72,English,Spain,2009,6.1,2.35,0,2,480,10000,12000,James Corden,Gary Oldman,Dwayne Johnson,41259,22668,70000000
Star Trek: Nemesis ,Stuart Baird,842,English,USA,2002,6.4,2.35,0,53,906,1000,27000,Jonathan Frakes,LeVar Burton,Tom Hardy,58450,31224,60000000
Intolerable Cruelty ,Joel Coen,322,English,USA,2003,6.3,1.85,0,0,210,399,436,Julia Duffy,Paul Adelstein,Cedric the Entertainer,76560,1395,60000000
Trouble with the Curve ,Robert Lorenz,150,English,USA,2012,6.8,2.35,11000,39,461,897,16000,Bob Gunton,Ed Lauter,Clint Eastwood,47954,17871,
Edge of Darkness ,Martin Campbell,256,English,UK,2010,6.6,2.35,0,258,896,1000,2000,Denis O'Hare,Ray Winstone,Bojana Novakovic,75201,7053,80000000
The Relic ,Peter Hyams,165,English,UK,1997,5.7,2.35,956,0,308,344,510,Chi Muoi Lo,Penelope Ann Miller,John Kapelos,19176,1976,40000000
Analyze That ,Harold Ramis,138,English,USA,2002,5.9,1.85,846,11000,236,394,22000,Joe Viterelli,Cathy Moriarty,Robert De Niro,69319,22889,60000000
Righteous Kill ,Jon Avnet,248,English,USA,2008,6,2.35,0,50,1000,14000,22000,50 Cent,Al Pacino,Robert De Niro,73368,38809,60000000
Mercury Rising ,Harold Becker,127,English,USA,1998,6.1,2.35,0,17,652,968,13000,Carrie Preston,Miko Hughes,Bruce Willis,54314,16536,60000000
The Soloist ,Joe Wright,143,English,UK,2009,6.7,2.35,0,456,569,939,21000,Rachael Harris,Stephen Root,Robert Downey Jr.,44099,23745,60000000
The Legend of Bagger Vance ,Robert Redford,267,English,USA,2000,6.7,1.85,0,0,9000,10000,13000,Charlize Theron,Will Smith,Matt Damon,45296,34774,60000000
Almost Famous ,Cameron Crowe,822,English,USA,2000,7.9,1.85,15000,488,947,11000,22000,Michael Angarano,Zooey Deschanel,Philip Seymour Hoffman,207287,36897,60000000
Garfield 2 ,Tim Hill,74,English,UK,2006,5,1.85,470,25,265,1000,13000,Ben Falcone,Roger Rees,Bill Murray,27517,14918,
xXx: State of the Union ,Lee Tamahori,213,English,USA,2005,4.3,2.35,0,93,218,233,287,Xzibit,Nona Gaye,Sunny Mabrey,51349,993,87000000
Priest ,Scott Stewart,233,English,USA,2011,5.7,2.35,20000,124,77,441,865,Jacob Hopkins,Alan Dale,Josh Wingate,97089,1417,60000000
Sinbad: Legend of the Seven Seas ,Patrick Gilmore,91,English,USA,2003,6.7,1.66,880,0,82,102,11000,Timothy West,Adriano Giannini,Brad Pitt,36144,11301,60000000
